"id","fqdn/ip","port","severity","finding","cve","cwe"
"clientsimulation-chrome_101_win10","journeesdupatrimoine.culture.gouv.fr/87.98.187.73","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"clientsimulation-firefox_66_win81","journeesdupatrimoine.culture.gouv.fr/87.98.187.73","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"clientsimulation-firefox_100_win10","journeesdupatrimoine.culture.gouv.fr/87.98.187.73","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"clientsimulation-ie_6_xp","journeesdupatrimoine.culture.gouv.fr/87.98.187.73","443","INFO","No connection","",""
"clientsimulation-ie_8_win7","journeesdupatrimoine.culture.gouv.fr/87.98.187.73","443","INFO","No connection","",""
"clientsimulation-ie_8_xp","journeesdupatrimoine.culture.gouv.fr/87.98.187.73","443","INFO","No connection","",""
"clientsimulation-ie_11_win7","journeesdupatrimoine.culture.gouv.fr/87.98.187.73","443","INFO","TLSv1.2 ECDHE-ECDSA-AES128-GCM-SHA256","",""
"clientsimulation-ie_11_win81","journeesdupatrimoine.culture.gouv.fr/87.98.187.73","443","INFO","TLSv1.2 ECDHE-ECDSA-AES128-GCM-SHA256","",""
"clientsimulation-ie_11_winphone81","journeesdupatrimoine.culture.gouv.fr/87.98.187.73","443","INFO","TLSv1.2 ECDHE-ECDSA-AES128-GCM-SHA256","",""
"clientsimulation-ie_11_win10","journeesdupatrimoine.culture.gouv.fr/87.98.187.73","443","INFO","TLSv1.2 ECDHE-ECDSA-AES128-GCM-SHA256","",""
"clientsimulation-edge_15_win10","journeesdupatrimoine.culture.gouv.fr/87.98.187.73","443","INFO","TLSv1.2 ECDHE-ECDSA-AES128-GCM-SHA256","",""
"clientsimulation-edge_101_win10_21h2","journeesdupatrimoine.culture.gouv.fr/87.98.187.73","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"clientsimulation-safari_121_ios_122","journeesdupatrimoine.culture.gouv.fr/87.98.187.73","443","INFO","TLSv1.3 TLS_CHACHA20_POLY1305_SHA256","",""
"clientsimulation-safari_130_osx_10146","journeesdupatrimoine.culture.gouv.fr/87.98.187.73","443","INFO","TLSv1.3 TLS_CHACHA20_POLY1305_SHA256","",""
"clientsimulation-safari_154_osx_1231","journeesdupatrimoine.culture.gouv.fr/87.98.187.73","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"clientsimulation-java_7u25","journeesdupatrimoine.culture.gouv.fr/87.98.187.73","443","INFO","No connection","",""
"clientsimulation-java_8u161","journeesdupatrimoine.culture.gouv.fr/87.98.187.73","443","INFO","TLSv1.2 ECDHE-ECDSA-AES128-GCM-SHA256","",""
"clientsimulation-java1102","journeesdupatrimoine.culture.gouv.fr/87.98.187.73","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"clientsimulation-java1703","journeesdupatrimoine.culture.gouv.fr/87.98.187.73","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-go_1178","journeesdupatrimoine.culture.gouv.fr/87.98.187.73","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"clientsimulation-libressl_283","journeesdupatrimoine.culture.gouv.fr/87.98.187.73","443","INFO","TLSv1.2 ECDHE-ECDSA-AES128-GCM-SHA256","",""
"clientsimulation-openssl_102e","journeesdupatrimoine.culture.gouv.fr/87.98.187.73","443","INFO","TLSv1.2 ECDHE-ECDSA-AES128-GCM-SHA256","",""
"clientsimulation-openssl_110l","journeesdupatrimoine.culture.gouv.fr/87.98.187.73","443","INFO","TLSv1.2 ECDHE-ECDSA-AES128-GCM-SHA256","",""
"clientsimulation-openssl_111d","journeesdupatrimoine.culture.gouv.fr/87.98.187.73","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-openssl_303","journeesdupatrimoine.culture.gouv.fr/87.98.187.73","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-apple_mail_16_0","journeesdupatrimoine.culture.gouv.fr/87.98.187.73","443","INFO","TLSv1.2 ECDHE-ECDSA-AES128-GCM-SHA256","",""
"clientsimulation-thunderbird_91_9","journeesdupatrimoine.culture.gouv.fr/87.98.187.73","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"rating_spec","journeesdupatrimoine.culture.gouv.fr/87.98.187.73","443","INFO","SSL Labs's 'SSL Server Rating Guide' (version 2009q from 2020-01-30)","",""
"rating_doc","journeesdupatrimoine.culture.gouv.fr/87.98.187.73","443","INFO","https://github.com/ssllabs/research/wiki/SSL-Server-Rating-Guide","",""
"protocol_support_score","journeesdupatrimoine.culture.gouv.fr/87.98.187.73","443","INFO","100","",""
"protocol_support_score_weighted","journeesdupatrimoine.culture.gouv.fr/87.98.187.73","443","INFO","30","",""
"key_exchange_score","journeesdupatrimoine.culture.gouv.fr/87.98.187.73","443","INFO","100","",""
"key_exchange_score_weighted","journeesdupatrimoine.culture.gouv.fr/87.98.187.73","443","INFO","30","",""
"cipher_strength_score","journeesdupatrimoine.culture.gouv.fr/87.98.187.73","443","INFO","60","",""
"cipher_strength_score_weighted","journeesdupatrimoine.culture.gouv.fr/87.98.187.73","443","INFO","24","",""
"final_score","journeesdupatrimoine.culture.gouv.fr/87.98.187.73","443","INFO","84","",""
"overall_grade","journeesdupatrimoine.culture.gouv.fr/87.98.187.73","443","OK","A","",""
"grade_cap_reason_1","journeesdupatrimoine.culture.gouv.fr/87.98.187.73","443","INFO","Grade capped to A. HSTS is not offered","",""
